,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
15,1664683674388791304,,2023-06-02 17:21:30+00:00,2023-06-02,17:21:30,UTC,705766540952657922,arcenetac,arsene de nuit🌿🐝,,"RT @BPartisans: La Chine a développé un drone kamikaze Yousun de style interrupteur secret

 Les munitions qui traînent ressemblent extérie…",fr,['BPartisans'],[],[],,9,0,[],[],https://twitter.com/arcenetac/status/1664683674388791304,False,,,,,,Twitter for iPhone,705766540952657922,arcenetac,1664680263131987984,,2023-06-02 17:07:57,,,
16,1664680263131987984,,2023-06-02 17:07:57+00:00,2023-06-02,17:07:57,UTC,1523013436631830530,BPartisans,Brainless Partisans 🏴‍☠️☢️☣️🪆,,"La Chine a développé un drone kamikaze Yousun de style interrupteur secret

 Les munitions qui traînent ressemblent extérieurement au drone Switchblade, développé par la société américaine AeroVironment. Mais la principale caractéristique de Yousun est la capacité de lancer à… https://t.co/MTErt2fYFK https://t.co/p1ByU2eiuj",fr,[],['https://twitter.com/i/web/status/1664680263131987984'],['https://pbs.twimg.com/media/Fxoh2ecWAAwCRFB.jpg'],,9,22,[],[],https://twitter.com/BPartisans/status/1664680263131987984,False,,,https://pbs.twimg.com/media/Fxoh2ecWAAwCRFB.jpg,,,Twitter for Android,1523013436631830530,BPartisans,,,,,,
17,1664631014063325185,,2023-06-02 13:52:15+00:00,2023-06-02,13:52:15,UTC,1606832414977843200,Numidia213,Numidia213🇩🇿,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Numidia213/status/1664631014063325185,False,,,,,,Twitter for iPhone,1606832414977843200,Numidia213,1663836697296093187,,2023-05-31 09:15:55,,,
18,1664628018701008897,,2023-06-02 13:40:21+00:00,2023-06-02,13:40:21,UTC,1556691908583473154,MarioBross5421,Mario,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/MarioBross5421/status/1664628018701008897,False,,,,,,Twitter for Android,1556691908583473154,MarioBross5421,1663836697296093187,,2023-05-31 09:15:55,,,
19,1664534514780053507,,2023-06-02 07:28:48+00:00,2023-06-02,07:28:48,UTC,946337425,TomDAAVID,Tom,,"@arikouts @PeurAvion @AlexSamTG Je me suis dis la même chose, c'est surprenant.

Mais en même temps pour entrainer un drône à attaquer des cibles ennemies, on ne veut pas de tir sur les alliers et donc c'est pas incohérent d'inclure la capacité à le faire dans la simulation.
@nextinpact @manhack
@RebeccaRambar",fr,"['arikouts', 'PeurAvion', 'AlexSamTG', 'nextinpact', 'manhack', 'RebeccaRambar']",[],[],,0,0,[],[],https://twitter.com/TomDAAVID/status/1664534514780053507,False,,,,,,Twitter for Android,946337425,TomDAAVID,,1664531607288520706,,,,
20,1664420270772297728,,2023-06-01 23:54:50+00:00,2023-06-01,23:54:50,UTC,3253996738,Hemza_Belabed7,BELABED Hemza🎗️#MS 🇩🇿 🇵🇸,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Hemza_Belabed7/status/1664420270772297728,False,,,,,,Twitter for Android,3253996738,Hemza_Belabed7,1663836697296093187,,2023-05-31 09:15:55,,,
21,1664392229585125378,,2023-06-01 22:03:25+00:00,2023-06-01,22:03:25,UTC,1619057449897496577,zabana_a_d,Derka Zabana,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/zabana_a_d/status/1664392229585125378,False,,,,,,Twitter for iPhone,1619057449897496577,zabana_a_d,1663836697296093187,,2023-05-31 09:15:55,,,
22,1664371294488363010,,2023-06-01 20:40:13+00:00,2023-06-01,20:40:13,UTC,1551498730481848321,YOUCEFJR_213,YOUCEF 🇵🇸,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/YOUCEFJR_213/status/1664371294488363010,False,,,,,,Twitter for Android,1551498730481848321,YOUCEFJR_213,1663836697296093187,,2023-05-31 09:15:55,,,
23,1664347955833237505,,2023-06-01 19:07:29+00:00,2023-06-01,19:07:29,UTC,1392160531415502848,Ucccccen,Uccen 🇩🇿ⵣڞ,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Ucccccen/status/1664347955833237505,False,,,,,,Twitter for Android,1392160531415502848,Ucccccen,1663836697296093187,,2023-05-31 09:15:55,,,
24,1664338934661259272,,2023-06-01 18:31:38+00:00,2023-06-01,18:31:38,UTC,1653922157414567936,abdelkrime24881,abdelkrime elkhattabi,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/abdelkrime24881/status/1664338934661259272,False,,,,,,Twitter Web App,1653922157414567936,abdelkrime24881,1663836697296093187,,2023-05-31 09:15:55,,,
25,1664315879180451869,,2023-06-01 17:00:01+00:00,2023-06-01,17:00:01,UTC,156248736,COREandCO,COREandCO webzine,,"❗Abstrait, narratif, fièvreux, cohérent, dans ""Silver Haze"", SQÜRL montre sa capacité à bâtir des ponts entre l’image et le son, par la seule force de la musique. 

https://t.co/uishAY7R2U 

#review #chronique #rock #drone #usa https://t.co/ZtPFhHAGd3",fr,[],['https://buff.ly/42npTgd'],['https://pbs.twimg.com/media/FxjWeImXwBEFQ_q.jpg'],,0,0,"['review', 'chronique', 'rock', 'drone', 'usa']",[],https://twitter.com/COREandCO/status/1664315879180451869,False,,,https://pbs.twimg.com/media/FxjWeImXwBEFQ_q.jpg,,,Buffer,156248736,COREandCO,,,,,,
26,1664179092663443459,,2023-06-01 07:56:29+00:00,2023-06-01,07:56:29,UTC,540275074,HolaAmigos246,"Holà, 🇩🇿 🇫🇷",,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/HolaAmigos246/status/1664179092663443459,False,,,,,,Twitter for Android,540275074,HolaAmigos246,1663836697296093187,,2023-05-31 09:15:55,,,
27,1664045856696172545,,2023-05-31 23:07:03+00:00,2023-05-31,23:07:03,UTC,1635209824563519488,Faiza79b,Faiza,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Faiza79b/status/1664045856696172545,False,,,,,,Twitter for Android,1635209824563519488,Faiza79b,1663836697296093187,,2023-05-31 09:15:55,,,
28,1664043066750124032,,2023-05-31 22:55:58+00:00,2023-05-31,22:55:58,UTC,1589118128935559168,ImNotGhayth,غيث | دوار شمالي,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/ImNotGhayth/status/1664043066750124032,False,,,,,,Twitter for Android,1589118128935559168,ImNotGhayth,1663836697296093187,,2023-05-31 09:15:55,,,
29,1664036083904962561,,2023-05-31 22:28:13+00:00,2023-05-31,22:28:13,UTC,1628664004339007492,Gozen_Ti,❤️🇩🇿BRICSA🇩🇿❤️,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Gozen_Ti/status/1664036083904962561,False,,,,,,Twitter for iPhone,1628664004339007492,Gozen_Ti,1663836697296093187,,2023-05-31 09:15:55,,,
30,1664030087342112769,,2023-05-31 22:04:23+00:00,2023-05-31,22:04:23,UTC,378580932,kamel_Bel,BEL Kamel,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/kamel_Bel/status/1664030087342112769,False,,,,,,Twitter for Android,378580932,kamel_Bel,1663836697296093187,,2023-05-31 09:15:55,,,
31,1664029819166654465,,2023-05-31 22:03:19+00:00,2023-05-31,22:03:19,UTC,3401307118,SadiLyes,sadi lyes,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/SadiLyes/status/1664029819166654465,False,,,,,,Twitter for Android,3401307118,SadiLyes,1663836697296093187,,2023-05-31 09:15:55,,,
32,1664023927172091912,,2023-05-31 21:39:54+00:00,2023-05-31,21:39:54,UTC,1540041226736517122,KaderSoze,🏴‍☠️🇩🇿KADER SOZE🇩🇿🏴‍☠️,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/KaderSoze/status/1664023927172091912,False,,,,,,Twitter for Android,1540041226736517122,KaderSoze,1663836697296093187,,2023-05-31 09:15:55,,,
33,1664020176021385222,,2023-05-31 21:25:00+00:00,2023-05-31,21:25:00,UTC,1545463521927913472,ryad_baghdadi,Ryad Baghdadi 🇩🇿🇷🇺,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/ryad_baghdadi/status/1664020176021385222,False,,,,,,Twitter Web App,1545463521927913472,ryad_baghdadi,1663836697296093187,,2023-05-31 09:15:55,,,
34,1664014526101049346,,2023-05-31 21:02:33+00:00,2023-05-31,21:02:33,UTC,3035670718,ZinoZodiac,Zino Zodiac 🅩,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/ZinoZodiac/status/1664014526101049346,False,,,,,,Twitter for Android,3035670718,ZinoZodiac,1663836697296093187,,2023-05-31 09:15:55,,,
35,1664009846411206657,,2023-05-31 20:43:57+00:00,2023-05-31,20:43:57,UTC,1585722571466612742,Yanni_075,ⵢⴰⵏⵏⵉ,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Yanni_075/status/1664009846411206657,False,,,,,,Twitter for Android,1585722571466612742,Yanni_075,1663836697296093187,,2023-05-31 09:15:55,,,
36,1663998838472941571,,2023-05-31 20:00:13+00:00,2023-05-31,20:00:13,UTC,1436065653782368256,MonmondeJV,WLDstream🇩🇿۞,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/MonmondeJV/status/1663998838472941571,False,,,,,,Twitter for iPhone,1436065653782368256,MonmondeJV,1663836697296093187,,2023-05-31 09:15:55,,,
37,1663991010563588098,,2023-05-31 19:29:07+00:00,2023-05-31,19:29:07,UTC,124563266,Guemarat,𝕺𝖚𝖆𝖊𝖑 🃏,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Guemarat/status/1663991010563588098,False,,,,,,Twitter for iPhone,124563266,Guemarat,1663836697296093187,,2023-05-31 09:15:55,,,
38,1663986204956663814,,2023-05-31 19:10:01+00:00,2023-05-31,19:10:01,UTC,2241532243,AmirLACHRAF,Amir LACHRAF ♔,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/AmirLACHRAF/status/1663986204956663814,False,,,,,,Twitter for Android,2241532243,AmirLACHRAF,1663836697296093187,,2023-05-31 09:15:55,,,
39,1663985435603812372,,2023-05-31 19:06:57+00:00,2023-05-31,19:06:57,UTC,1327615844747194368,hamid63095503,Ineluctable 🇩🇿🇪🇭🇹🇳 🇲🇷🇲🇱🇳🇪🇱🇾,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/hamid63095503/status/1663985435603812372,False,,,,,,Twitter for iPad,1327615844747194368,hamid63095503,1663836697296093187,,2023-05-31 09:15:55,,,
40,1663978690772910087,,2023-05-31 18:40:09+00:00,2023-05-31,18:40:09,UTC,1417825966588678153,souffi392,souffi39,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/souffi392/status/1663978690772910087,False,,,,,,Twitter for Android,1417825966588678153,souffi392,1663836697296093187,,2023-05-31 09:15:55,,,
41,1663969813536862208,,2023-05-31 18:04:53+00:00,2023-05-31,18:04:53,UTC,354907611,rammaplus,Amr,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/rammaplus/status/1663969813536862208,False,,,,,,Twitter for Android,354907611,rammaplus,1663836697296093187,,2023-05-31 09:15:55,,,
42,1663967247818260484,,2023-05-31 17:54:41+00:00,2023-05-31,17:54:41,UTC,3853350562,4bb2cc00811b464,Farid hamadache,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/4bb2cc00811b464/status/1663967247818260484,False,,,,,,Twitter Web App,3853350562,4bb2cc00811b464,1663836697296093187,,2023-05-31 09:15:55,,,
43,1663957444685430784,,2023-05-31 17:15:44+00:00,2023-05-31,17:15:44,UTC,1458530393964093441,IorriM,Iorri Mazyes,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/IorriM/status/1663957444685430784,False,,,,,,Twitter for Android,1458530393964093441,IorriM,1663836697296093187,,2023-05-31 09:15:55,,,
44,1663957296471240704,,2023-05-31 17:15:08+00:00,2023-05-31,17:15:08,UTC,1347181262616879105,Aalibaba5,Aali baba,,RT @NumidiaTimes: La Startup #Algerienne Taer R&amp;D a présenté au salon de l'innovation Sipsa les Drones Intelligents Civils doté d'une techn…,fr,['NumidiaTimes'],[],[],,85,0,['Algerienne'],[],https://twitter.com/Aalibaba5/status/1663957296471240704,False,,,,,,Twitter for Android,1347181262616879105,Aalibaba5,1663836697296093187,,2023-05-31 09:15:55,,,
